Vélo;Durée;KM;Puissance;Torque;HRmean;HR Drift;RPE;Commentaires
16/11/2022;0:05:00;;338;37Nm;167;+45bpm ;;Test route 5’
19/11/22;0:20:00;;283;30Nm;171;+22bpm ;;Test route 20’
23/11/22;0:03:00;;272;29Nm;170;+21bpm;;HT
26/11/22;0:05:00;;286;30Nm;160;+41bpm;;
30/11/22;0:05:00;;326;32Nm;169;+22bpm ;;Test HT 5’
3/12/22;1:00:00;;258;29Nm;165;+55bpm;;Test 60’
11/12/22;3:00:00;;215;25Nm;147;+40bpm;;Test Pré-fatigue
11/12/22;0:20:00;;253;29Nm;160;+15bpm;;Test Pré-fatigue
24/12/22;0:05:00;;264;28Nm;158;+44bpm;;
4/1/23;0:05:00;;313;31Nm;171;+31bpm ;;Test HT 5’ nouveau capteur
6/1/23;0:20:00;;256;29Nm;163;+38bpm ;;Test route 20’ nouveau capteur
11/1/23;0:02:00;;270;29Nm;153;+32bpm ;;
15/1/23;0:20:00;;248;28Nm;159;+20bpm ;;Test pré-fatigue 
18/1/23;0:03:00;;250;26Nm;161;+23bpm;;HT
21/1/23;0:01:30;;272;27Nm;163;+17bpm;;HT
21/1/23;0:05:00;;255;25Nm;165;;;HT
21/1/23;0:30:00;;215;24Nm;147;+24bpm;;
22/1/23;6:08:00;158Km;145;;120;;6;
25/1/23;0:08:00;;239;26Nm;156;+28bpm;;
28/1/23;0:20:00;;224;25Nm;151;+29bpm;;
28/1/23;0:01:00;;264;27Nm;152;+13bpm;;
29/1/23;6:30:00;175Km;150;;121;;5;
4/2/23;7:04:00;205Km;167;;129;;5;
8/2/23;0:01:30;;266;28Nm;154;+23bpm;;
8/2/23;0:05:00;;255;27Nm;160;;;
11/2/23;0:30:00;;223;25Nm;151;;;
12/2/23;6:38:00;173Km;147;;116;;5;
15/2/23;0:20:00;;237;27Nm;153;+36bpm;;
15/2/02;0:20:00;;240;;161;+37bpm;;
4/3/23;0:45:00;;213;25Nm;147;+36bpm;;
5/3/23;;200Km;127;;110;;6;
8/3/23;0:10:00;;223;23Nm;161;;;HT
11/3/23;0:50:00;;214;24Nm;146;;;
12/3/23;7:05:00;180Km;127;;108;;4;
15/3/23;1:00:00;;219;26Nm;151;;;
18/3/23;8:00:00;217Km;145;;119;;4;
22/3/23;5:10:00;136Km;150;;122;;4;
25/3/23;3:00:00;;201;24Nm;134;;;
25/3/23;0:10:00;;242;28Nm;150;;;
26/3/23;6:26:00;172Km;171;;117;;4;
29/3/23;4:32:00;135Km;189;;131;;6;
1/4/23;0:50:00;;214;26Nm;142;1;;
2/4/23;11:30:00;308Km;153;;115;;5;
22/7/23;0:20:00;;207;24Nm;140;;;
23/8/23;0:08:00;;230;25Nm;152;;;
27/8/23;0:30:00;;211;24Nm;145;;;
2/9/23;1:00:00;;224;25Nm;149;;;
15/9/23;0:16:00;;232;26Nm;154;;;
5/11/23;0:15:00;;224;25Nm;156;;;HT
8/11/23;0:05:00;;267;27Nm;161;;;HT
12/11/23;1:00:00;;220;25Nm;141;;;
15/11/23;0:06:00;;269;28Nm;165;;;HT
