Vélo;Durée;KM;Puissance;Torque;HRmean;HR Drift;Commentaires
7/1/23;0:15:00;;249;29Nm;175;+25bpm ;
15/1/23;0:30:00;;259;31Nm;174;+21bpm ;
12/2/23;0:15:00;;252;28Nm;154;;
23/2/23;0:10:00;;278;33Nm;169;+33bpm;
26/2/23;0:30:00;;250;30Nm;155;+38bpm;
11/3/23;1:00:00;;248;33Nm;157;;
2/4/23;0:45:00;;263;30Nm;147;;
7/4/23;0:04:00;;305;35Nm;159;;
11/7/23;0:05:00;;304;29Nm;174;;
3/1/24;0:15:00;;289;29Nm;172;;
10/1/24;0:04:00;;315;33Nm;173;;
17/1/24;0:30:00;;277;30Nm;164;;
18/2/25;0:05:00;;244;25Nm;159;;HT
