Vélo;Durée;KM;Puissance;Torque;HRmean;HR Drift;RPE;Commentaires
17/11/22;0:50:00;;264;30Nm;159;+43bpm;;
20/12/22;0:03:00;;343;36Nm;173;+32bpm ;;
2/1/23;0:30:00;;308;31Nm;157;+41bpm;;
10/1/23;1:00:00;;304;33Nm;159;+42bpm;;
14/1/23;0:08:00;;328;40Nm;162;;;
19/1/23;0:30:00;;273;31Nm;154;+38bpm;;HT
24/1/23;6:00:00;;213;;126;;3;BTD
9/2/23;0:30:00;;278;31Nm;157;+35bpm;;
11/2/23;4:00:00;120Km;201;;123;;2;BTD
12/2/23;1:00:00;;281;32Nm;155;+41bpm;;
22/2/23;0:30:00;;285;32Nm;158;+28bpm;;
27/2/23;5:00:00;145Km;214;;125;;3;BTD
28/2/23;0:08:00;;269;29Nm;148;+14bpm;;
28/2/23;0:04:00;;307;33Nm;156;+15bpm;;
5/3/23;8:00:00;240Km;;;129;;4;BTD
6/3/23;0:14:00;;313;37Nm;161;+60bpm;;
12/3/23;1:30:00;;274;29Nm;145;;;
16/3/23;1:00:00;;295;30Nm;155;;;
18/3/23;6:00:00;173Km;211;;122;;2;BTD
19/3/23;1:00:00;;283;30Nm;149;;;
23/3/23;0:16:00;;296;3Nm;156;;;
25/3/23;7:00:00;187km;217;;123;;3;BTD
26/3/23;1:00:00;;261;30Nm;144;;;HT
26/3/23;0:10:00;;292;34Nm;155;;;HT
30/3/23;0:01:30;;353;39Nm;142;;;
30/3/23;0:03:30;;318;34Nm;154;;;
1/4/23;2:30:00;;268;30Nm;143;;;
1/4/23;0:30:00;;295;31Nm;155;;;
4/4/23;4:00:00;110Km;208;;114;;;
6/4/23;;100Km;272;29Nm;142;;;
9/4/23;1:30:00;;268;28Nm;136;;;
13/4/23;0:10:00;;315;34Nm;156;;;
15/4/23;6:00:00;159Km;222;;124;;;
16/4/23;0:45:00;;278;30Nm;150;;;
23/4/23;;100Km;257;27Nm;149;;5;Changement capteur Assioma UNO
23/4/23;;10Km;283;28Nm;163;;5;
5/5/23;2:00:00;;255;27Nm;149;;;
5/5/23;0:05:00;;293;32Nm;161;;;
28/5/23;0:05:00;;297;33Nm;166;;;
30/5/23;1:00:00;;246;26Nm;145;;;
14/6/23;0:20:00;;297;34Nm;161;;;
17/6/23;5:00:00;;210;;128;;3;
18/6/23;1:00:00;;269;25Nm;137;;;
20/6/23;0:30:00;;282;34Nm;157;;;
28/6/23;3:30:00;;253;25Nm;147;;;
28/6/23;0:10:00;;289;33Nm;171;;;
29/6/23;1:00:00;;239;24Nm;141;;;
4/7/23;0:10:00;;292;34Nm;163;;;
20/7/23;5:30:00;;201;;121;;2;
30/8/23;0:04:00;;334;35Nm;162;;;
2/9/23;0:05:00;;299;32Nm;165;;;
2/9/23;1:00:00;;270;27Nm;159;;;
17/9/23;0:30:00;;248;27Nm;153;;;
21/9/23;0:50:00;;257;26Nm;157;;;
27/9/23;0:05:00;;351;36Nm;163;;;Test 5’ outdoor
28/9/23;0:20:00;;310;34Nm;167;;;Test 20’ outdoor
30/9/23;3:00:00;;247;26Nm;146;;;
30/9/23;0:20:00;;295;31Nm;172;;;Test 20' pré-fatigue
3/10/23;0:05:00;;290;30Nm;158;;;
7/10/23;1:00:00;;264;27Nm;149;;;
9/10/23;0:10:00;;286;27Nm;158;;;
12/10/23;;60Km;273;28Nm;150;;;
3/11/23;0:10:00;;254;29Nm;158;;;HT
3/11/23;0:05:00;;313;35Nm;169;;;HT
8/11/23;0:03:00;;354;38Nm;170;;;
9/11/23;0:15:00;;284;30Nm;160;;;
13/11/23;0:30:00;;259;27Nm;146;;;
16/11/23;0:04:00;;331;34Nm;167;;;
17/11/23;0:05:00;;318;33Nm;166;;;
18/11/23;;250Km;179;;127;;3;
21/11/23;0:02:00;;341;35Nm;157;;;HT
21/11/23;0:05:00;;341;36Nm;167;;;HT
23/11/23;0:06:00;;320;34Nm;165;;;
24/11/23;0:45:00;;273;28Nm;156;;;
