Vélo;Durée;KM;Puissance;Torque;HRmean;HR Drift;RPE;Commentaires
5/2/23;0:30:00;;255;30Nm;153;+46bpm;;
5/3/23;1:00:00;;243;32Nm;154;;;
11/3/23;5:00:00;146Km;195;;141;;3;
1/4/23;2:30:00;;243;30Nm;145;;;
1/4/23;0:05:00;;282;35Nm;160;;;
29/4/23;0:20:00;;258;32Nm;151;;;
6/5/23;;20Km;234;29Nm;150;;;
3/2/24;0:15:00;;283;29Nm;168;;;HT
10/3/24;;90Km;230;26Nm;142;;;
22/3/24;0:45:00;;255;28Nm;148;;;
5/4/24;0:30:00;;251;29Nm;157;;;
13/4/24;0:05:00;;286;31Nm;147;;;
13/4/24;1:00:00;;237;29Nm;139;;;
3/5/24;1:30:00;;244;27Nm;148;;;HT
10/5/24;;90Km;225;;154;;;FrenchMan
24/5/24;0:15:00;;266;27Nm;157;;;HT
29/5/24;2:00:00;;232;27Nm;143;;;HT
29/5/24;0:30:00;;254;28Nm;167;;;HT
10/8/24;;40Km;247;27Nm;147;;;
13/9/24;0:30:00;;240;28Nm;156;;;HT
28/9/24;0:10:00;;262;29Nm;167;;;
11/10/24;1:00:00;;230;26Nm;148;;;HT
19/10/24;;35Km;245;27Nm;158;;;
2/11/24;0:50:00;;230;27Nm;154;;;
8/11/24;0:10:00;;262;26Nm;163;;;HT
8/11/24;1:30:00;;208;22Nm;143;;;HT
29/11/24;0:50:00;;236;26Nm;150;;;HT
15/12/24;;90Km;212;;150;;;WCS 70.3
1/2/25;0:08:00;;250;39Nm;157;;;HT - Tempo/ Force
11/3/25;0:02:00;;282;30Nm;148;;;HT
26/3/25;0:01:00;;285;29Nm;134;;;HT
26/3/25;0:04:00;;254;29Nm;156;;;HT
2/4/25;0:08:00;;270;29Nm;166;;;HT
11/5/25;;90Km;247;27Nm;144;;;
1/6/25;;87Km;224;24Nm;;;;70.3 Tours
29/6/25;;175Km;173;21Nm;131;;;IM Francfort
20/9/25;;43Km;248;28Nm;147;;;HT
20/9/25;;6Km;262;29Nm;154;;;HT
31/10/25;0:02:00;;338;35Nm;157;;;
28/11/25;0:02:00;;335;37Nm;152;;;
